ID,Name,Type,HP,Attack,Defense,Special Attack,Special Defense,Speed
410,"Shieldon","Rock,Steel",30,42,118,42,88,30
411,"Bastiodon","Rock,Steel",60,52,168,47,138,30
412,"Burmy","Bug",40,29,45,29,45,36
413,"Wormadam","Bug,Grass",60,59,85,79,105,36
414,"Mothim","Bug,Flying",70,94,50,94,50,66
415,"Combee","Bug,Flying",30,30,42,30,42,70
416,"Vespiquen","Bug,Flying",70,80,102,80,102,40
417,"Pachirisu","Electric",60,45,70,45,90,95
418,"Buizel","Water",55,65,35,60,30,85
419,"Floatzel","Water",85,105,55,85,50,115
420,"Cherubi","Grass",45,35,45,62,53,35
421,"Cherrim","Grass",70,60,70,87,78,85
422,"Shellos","Water",76,48,48,57,62,34
423,"Gastrodon","Water,Ground",111,83,68,92,82,39
424,"Ambipom","Normal",75,100,66,60,66,115
425,"Drifloon","Ghost,Flying",90,50,34,60,44,70
426,"Drifblim","Ghost,Flying",150,80,44,90,54,80
427,"Buneary","Normal",55,66,44,44,56,85
428,"Lopunny","Normal",65,76,84,54,96,105
429,"Mismagius","Ghost",60,60,60,105,105,105
430,"Honchkrow","Dark,Flying",100,125,52,105,52,71
431,"Glameow","Normal",49,55,42,42,37,85
432,"Purugly","Normal",71,82,64,64,59,112
433,"Chingling","Psychic",45,30,50,65,50,45
434,"Stunky","Poison,Dark",63,63,47,41,41,74
435,"Skuntank","Poison,Dark",103,93,67,71,61,84
436,"Bronzor","Steel,Psychic",57,24,86,24,86,23
437,"Bronzong","Steel,Psychic",67,89,116,79,116,33
438,"Bonsly","Rock",50,80,95,10,45,10
439,"Mime Jr.","Psychic,Fairy",20,25,45,70,90,60
440,"Happiny","Normal",100,5,5,15,65,30
441,"Chatot","Normal,Flying",76,65,45,92,42,91
442,"Spiritomb","Ghost,Dark",50,92,108,92,108,35
443,"Gible","Dragon,Ground",58,70,45,40,45,42
444,"Gabite","Dragon,Ground",68,90,65,50,55,82
445,"Garchomp","Dragon,Ground",108,130,95,80,85,102
446,"Munchlax","Normal",135,85,40,40,85,5
447,"Riolu","Fighting",40,70,40,35,40,60
448,"Lucario","Fighting,Steel",70,110,70,115,70,90
449,"Hippopotas","Ground",68,72,78,38,42,32
450,"Hippowdon","Ground",108,112,118,68,72,47
451,"Skorupi","Poison,Bug",40,50,90,30,55,65
452,"Drapion","Poison,Dark",70,90,110,60,75,95
453,"Croagunk","Poison,Fighting",48,61,40,61,40,50
454,"Toxicroak","Poison,Fighting",83,106,65,86,65,85
455,"Carnivine","Grass",74,100,72,90,72,46
456,"Finneon","Water",49,49,56,49,61,66
457,"Lumineon","Water",69,69,76,69,86,91
458,"Mantyke","Water,Flying",45,20,50,60,120,50
459,"Snover","Grass,Ice",60,62,50,62,60,40
460,"Abomasnow","Grass,Ice",90,92,75,92,85,60
461,"Weavile","Dark,Ice",70,120,65,45,85,125
462,"Magnezone","Electric,Steel",70,70,115,130,90,60
463,"Lickilicky","Normal",110,85,95,80,95,50
464,"Rhyperior","Ground,Rock",115,140,130,55,55,40
465,"Tangrowth","Grass",100,100,125,110,50,50
466,"Electivire","Electric",75,123,67,95,85,95
467,"Magmortar","Fire",75,95,67,125,95,83
468,"Togekiss","Fairy,Flying",85,50,95,120,115,80
469,"Yanmega","Bug,Flying",86,76,86,116,56,95
470,"Leafeon","Grass",65,110,130,60,65,95
471,"Glaceon","Ice",65,60,110,130,95,65
472,"Gliscor","Ground,Flying",75,95,125,45,75,95
473,"Mamoswine","Ice,Ground",110,130,80,70,60,80
474,"Porygon-Z","Normal",85,80,70,135,75,90
475,"Gallade","Psychic,Fighting",68,125,65,65,115,80
476,"Probopass","Rock,Steel",60,55,145,75,150,40
477,"Dusknoir","Ghost",45,100,135,65,135,45
478,"Froslass","Ice,Ghost",70,80,70,80,70,110
479,"Rotom","Electric,Ghost",50,50,77,95,77,91
480,"Uxie","Psychic",75,75,130,75,130,95
481,"Mesprit","Psychic",80,105,105,105,105,80
482,"Azelf","Psychic",75,125,70,125,70,115
483,"Dialga","Steel,Dragon",100,120,120,150,100,90
484,"Palkia","Water,Dragon",90,120,100,150,120,100
485,"Heatran","Fire,Steel",91,90,106,130,106,77
486,"Regigigas","Normal",110,160,110,80,110,100
487,"Giratina","Ghost,Dragon",150,100,120,100,120,90
488,"Cresselia","Psychic",120,70,120,75,130,85
489,"Phione","Water",80,80,80,80,80,80
490,"Manaphy","Water",100,100,100,100,100,100
491,"Darkrai","Dark",70,90,90,135,90,125
492,"Shaymin","Grass",100,100,100,100,100,100
493,"Arceus","Normal",120,120,120,120,120,120
494,"Victini","Psychic,Fire",100,100,100,100,100,100
495,"Snivy","Grass",45,45,55,45,55,63
496,"Servine","Grass",60,60,75,60,75,83
497,"Serperior","Grass",75,75,95,75,95,113
498,"Tepig","Fire",65,63,45,45,45,45
499,"Pignite","Fire,Fighting",90,93,55,70,55,55
500,"Emboar","Fire,Fighting",110,123,65,100,65,65
501,"Oshawott","Water",55,55,45,63,45,45
502,"Dewott","Water",75,75,60,83,60,60
503,"Samurott","Water",95,100,85,108,70,70
504,"Patrat","Normal",45,55,39,35,39,42
505,"Watchog","Normal",60,85,69,60,69,77
506,"Lillipup","Normal",45,60,45,25,45,55
507,"Herdier","Normal",65,80,65,35,65,60
508,"Stoutland","Normal",85,110,90,45,90,80
509,"Purrloin","Dark",41,50,37,50,37,66
510,"Liepard","Dark",64,88,50,88,50,106
511,"Pansage","Grass",50,53,48,53,48,64
512,"Simisage","Grass",75,98,63,98,63,101
513,"Pansear","Fire",50,53,48,53,48,64
514,"Simisear","Fire",75,98,63,98,63,101
515,"Panpour","Water",50,53,48,53,48,64
516,"Simipour","Water",75,98,63,98,63,101
517,"Munna","Psychic",76,25,45,67,55,24
518,"Musharna","Psychic",116,55,85,107,95,29
519,"Pidove","Normal,Flying",50,55,50,36,30,43
520,"Tranquill","Normal,Flying",62,77,62,50,42,65
521,"Unfezant","Normal,Flying",80,115,80,65,55,93
522,"Blitzle","Electric",45,60,32,50,32,76
523,"Zebstrika","Electric",75,100,63,80,63,116
524,"Roggenrola","Rock",55,75,85,25,25,15
525,"Boldore","Rock",70,105,105,50,40,20
526,"Gigalith","Rock",85,135,130,60,80,25
527,"Woobat","Psychic,Flying",65,45,43,55,43,72
528,"Swoobat","Psychic,Flying",67,57,55,77,55,114
529,"Drilbur","Ground",60,85,40,30,45,68
530,"Excadrill","Ground,Steel",110,135,60,50,65,88
531,"Audino","Normal",103,60,86,60,86,50
532,"Timburr","Fighting",75,80,55,25,35,35
533,"Gurdurr","Fighting",85,105,85,40,50,40
534,"Conkeldurr","Fighting",105,140,95,55,65,45
535,"Tympole","Water",50,50,40,50,40,64
536,"Palpitoad","Water,Ground",75,65,55,65,55,69
537,"Seismitoad","Water,Ground",105,95,75,85,75,74
538,"Throh","Fighting",120,100,85,30,85,45
539,"Sawk","Fighting",75,125,75,30,75,85
540,"Sewaddle","Bug,Grass",45,53,70,40,60,42
541,"Swadloon","Bug,Grass",55,63,90,50,80,42
542,"Leavanny","Bug,Grass",75,103,80,70,80,92
543,"Venipede","Bug,Poison",30,45,59,30,39,57
544,"Whirlipede","Bug,Poison",40,55,99,40,79,47
545,"Scolipede","Bug,Poison",60,100,89,55,69,112
546,"Cottonee","Grass,Fairy",40,27,60,37,50,66
547,"Whimsicott","Grass,Fairy",60,67,85,77,75,116
548,"Petilil","Grass",45,35,50,70,50,30
549,"Lilligant","Grass",70,60,75,110,75,90
550,"Basculin","Water",70,92,65,80,55,98
551,"Sandile","Ground,Dark",50,72,35,35,35,65
552,"Krokorok","Ground,Dark",60,82,45,45,45,74
553,"Krookodile","Ground,Dark",95,117,80,65,70,92
554,"Darumaka","Fire",70,90,45,15,45,50
555,"Darmanitan","Fire",105,140,55,30,55,95
556,"Maractus","Grass",75,86,67,106,67,60
557,"Dwebble","Bug,Rock",50,65,85,35,35,55
558,"Crustle","Bug,Rock",70,105,125,65,75,45
559,"Scraggy","Dark,Fighting",50,75,70,35,70,48
560,"Scrafty","Dark,Fighting",65,90,115,45,115,58
561,"Sigilyph","Psychic,Flying",72,58,80,103,80,97
562,"Yamask","Ghost",38,30,85,55,65,30
563,"Cofagrigus","Ghost",58,50,145,95,105,30
564,"Tirtouga","Water,Rock",54,78,103,53,45,22
565,"Carracosta","Water,Rock",74,108,133,83,65,32
566,"Archen","Rock,Flying",55,112,45,74,45,70
567,"Archeops","Rock,Flying",75,140,65,112,65,110
568,"Trubbish","Poison",50,50,62,40,62,65
569,"Garbodor","Poison",80,95,82,60,82,75
570,"Zorua","Dark",40,65,40,80,40,65
571,"Zoroark","Dark",60,105,60,120,60,105
572,"Minccino","Normal",55,50,40,40,40,75
573,"Cinccino","Normal",75,95,60,65,60,115
574,"Gothita","Psychic",45,30,50,55,65,45
575,"Gothorita","Psychic",60,45,70,75,85,55
576,"Gothitelle","Psychic",70,55,95,95,110,65
577,"Solosis","Psychic",45,30,40,105,50,20
578,"Duosion","Psychic",65,40,50,125,60,30
579,"Reuniclus","Psychic",110,65,75,125,85,30
580,"Ducklett","Water,Flying",62,44,50,44,50,55
581,"Swanna","Water,Flying",75,87,63,87,63,98
582,"Vanillite","Ice",36,50,50,65,60,44
583,"Vanillish","Ice",51,65,65,80,75,59
584,"Vanilluxe","Ice",71,95,85,110,95,79
585,"Deerling","Normal,Grass",60,60,50,40,50,75
586,"Sawsbuck","Normal,Grass",80,100,70,60,70,95
587,"Emolga","Electric,Flying",55,75,60,75,60,103
588,"Karrablast","Bug",50,75,45,40,45,60
589,"Escavalier","Bug,Steel",70,135,105,60,105,20
590,"Foongus","Grass,Poison",69,55,45,55,55,15
591,"Amoonguss","Grass,Poison",114,85,70,85,80,30
592,"Frillish","Water,Ghost",55,40,50,65,85,40
593,"Jellicent","Water,Ghost",100,60,70,85,105,60
594,"Alomomola","Water",165,75,80,40,45,65
595,"Joltik","Bug,Electric",50,47,50,57,50,65
596,"Galvantula","Bug,Electric",70,77,60,97,60,108
597,"Ferroseed","Grass,Steel",44,50,91,24,86,10
598,"Ferrothorn","Grass,Steel",74,94,131,54,116,20
599,"Klink","Steel",40,55,70,45,60,30
600,"Klang","Steel",60,80,95,70,85,50
601,"Klinklang","Steel",60,100,115,70,85,90
602,"Tynamo","Electric",35,55,40,45,40,60
603,"Eelektrik","Electric",65,85,70,75,70,40
604,"Eelektross","Electric",85,115,80,105,80,50
605,"Elgyem","Psychic",55,55,55,85,55,30
606,"Beheeyem","Psychic",75,75,75,125,95,40
607,"Litwick","Ghost,Fire",50,30,55,65,55,20
608,"Lampent","Ghost,Fire",60,40,60,95,60,55
609,"Chandelure","Ghost,Fire",60,55,90,145,90,80
610,"Axew","Dragon",46,87,60,30,40,57
611,"Fraxure","Dragon",66,117,70,40,50,67
612,"Haxorus","Dragon",76,147,90,60,70,97
613,"Cubchoo","Ice",55,70,40,60,40,40
614,"Beartic","Ice",95,130,80,70,80,50
615,"Cryogonal","Ice",80,50,50,95,135,105
616,"Shelmet","Bug",50,40,85,40,65,25
617,"Accelgor","Bug",80,70,40,100,60,145
618,"Stunfisk","Ground,Electric",109,66,84,81,99,32
619,"Mienfoo","Fighting",45,85,50,55,50,65
620,"Mienshao","Fighting",65,125,60,95,60,105
621,"Druddigon","Dragon",77,120,90,60,90,48
622,"Golett","Ground,Ghost",59,74,50,35,50,35
623,"Golurk","Ground,Ghost",89,124,80,55,80,55
624,"Pawniard","Dark,Steel",45,85,70,40,40,60
625,"Bisharp","Dark,Steel",65,125,100,60,70,70
626,"Bouffalant","Normal",95,110,95,40,95,55
627,"Rufflet","Normal,Flying",70,83,50,37,50,60
628,"Braviary","Normal,Flying",100,123,75,57,75,80
629,"Vullaby","Dark,Flying",70,55,75,45,65,60
630,"Mandibuzz","Dark,Flying",110,65,105,55,95,80
631,"Heatmor","Fire",85,97,66,105,66,65
632,"Durant","Bug,Steel",58,109,112,48,48,109
633,"Deino","Dark,Dragon",52,65,50,45,50,38
634,"Zweilous","Dark,Dragon",72,85,70,65,70,58
635,"Hydreigon","Dark,Dragon",92,105,90,125,90,98
636,"Larvesta","Bug,Fire",55,85,55,50,55,60
637,"Volcarona","Bug,Fire",85,60,65,135,105,100
638,"Cobalion","Steel,Fighting",91,90,129,90,72,108
639,"Terrakion","Rock,Fighting",91,129,90,72,90,108
640,"Virizion","Grass,Fighting",91,90,72,90,129,108
641,"Tornadus","Flying",79,115,70,125,80,111
642,"Thundurus","Electric,Flying",79,115,70,125,80,111
643,"Reshiram","Dragon,Fire",100,120,100,150,120,90
644,"Zekrom","Dragon,Electric",100,150,120,120,100,90
645,"Landorus","Ground,Flying",89,125,90,115,80,101
646,"Kyurem","Dragon,Ice",125,130,90,130,90,95
647,"Keldeo","Water,Fighting",91,72,90,129,90,108
648,"Meloetta","Normal,Psychic",100,77,77,128,128,90
649,"Genesect","Bug,Steel",71,120,95,120,95,99
650,"Chespin","Grass",56,61,65,48,45,38
651,"Quilladin","Grass",61,78,95,56,58,57
652,"Chesnaught","Grass,Fighting",88,107,122,74,75,64
653,"Fennekin","Fire",40,45,40,62,60,60
654,"Braixen","Fire",59,59,58,90,70,73
655,"Delphox","Fire,Psychic",75,69,72,114,100,104
656,"Froakie","Water",41,56,40,62,44,71
657,"Frogadier","Water",54,63,52,83,56,97
658,"Greninja","Water,Dark",72,95,67,103,71,122
659,"Bunnelby","Normal",38,36,38,32,36,57
660,"Diggersby","Normal,Ground",85,56,77,50,77,78
661,"Fletchling","Normal,Flying",45,50,43,40,38,62
662,"Fletchinder","Fire,Flying",62,73,55,56,52,84
663,"Talonflame","Fire,Flying",78,81,71,74,69,126
664,"Scatterbug","Bug",38,35,40,27,25,35
665,"Spewpa","Bug",45,22,60,27,30,29
666,"Vivillon","Bug,Flying",80,52,50,90,50,89
667,"Litleo","Fire,Normal",62,50,58,73,54,72
668,"Pyroar","Fire,Normal",86,68,72,109,66,106
669,"Flabébé","Fairy",44,38,39,61,79,42
670,"Floette","Fairy",54,45,47,75,98,52
671,"Florges","Fairy",78,65,68,112,154,75
672,"Skiddo","Grass",66,65,48,62,57,52
673,"Gogoat","Grass",123,100,62,97,81,68
674,"Pancham","Fighting",67,82,62,46,48,43
675,"Pangoro","Fighting,Dark",95,124,78,69,71,58
676,"Furfrou","Normal",75,80,60,65,90,102
677,"Espurr","Psychic",62,48,54,63,60,68
678,"Meowstic","Psychic",74,48,76,83,81,104
679,"Honedge","Steel,Ghost",45,80,100,35,37,28
680,"Doublade","Steel,Ghost",59,110,150,45,49,35
681,"Aegislash","Steel,Ghost",60,50,150,50,150,60
682,"Spritzee","Fairy",78,52,60,63,65,23
683,"Aromatisse","Fairy",101,72,72,99,89,29
684,"Swirlix","Fairy",62,48,66,59,57,49
685,"Slurpuff","Fairy",82,80,86,85,75,72
686,"Inkay","Dark,Psychic",53,54,53,37,46,45
687,"Malamar","Dark,Psychic",86,92,88,68,75,73
688,"Binacle","Rock,Water",42,52,67,39,56,50
689,"Barbaracle","Rock,Water",72,105,115,54,86,68
690,"Skrelp","Poison,Water",50,60,60,60,60,30
691,"Dragalge","Poison,Dragon",65,75,90,97,123,44
692,"Clauncher","Water",50,53,62,58,63,44
693,"Clawitzer","Water",71,73,88,120,89,59
694,"Helioptile","Electric,Normal",44,38,33,61,43,70
695,"Heliolisk","Electric,Normal",62,55,52,109,94,109
696,"Tyrunt","Rock,Dragon",58,89,77,45,45,48
697,"Tyrantrum","Rock,Dragon",82,121,119,69,59,71
698,"Amaura","Rock,Ice",77,59,50,67,63,46
699,"Aurorus","Rock,Ice",123,77,72,99,92,58
700,"Sylveon","Fairy",95,65,65,110,130,60
701,"Hawlucha","Fighting,Flying",78,92,75,74,63,118
702,"Dedenne","Electric,Fairy",67,58,57,81,67,101
703,"Carbink","Rock,Fairy",50,50,150,50,150,50
704,"Goomy","Dragon",45,50,35,55,75,40
705,"Sliggoo","Dragon",68,75,53,83,113,60
706,"Goodra","Dragon",90,100,70,110,150,80
707,"Klefki","Steel,Fairy",57,80,91,80,87,75
708,"Phantump","Ghost,Grass",43,70,48,50,60,38
709,"Trevenant","Ghost,Grass",85,110,76,65,82,56
710,"Pumpkaboo","Ghost,Grass",59,66,70,44,55,41
711,"Gourgeist","Ghost,Grass",85,100,122,58,75,54
712,"Bergmite","Ice",55,69,85,32,35,28
713,"Avalugg","Ice",95,117,184,44,46,28
714,"Noibat","Flying,Dragon",40,30,35,45,40,55
715,"Noivern","Flying,Dragon",85,70,80,97,80,123
716,"Xerneas","Fairy",126,131,95,131,98,99
717,"Yveltal","Dark,Flying",126,131,95,131,98,99
718,"Zygarde","Dragon,Ground",108,100,121,81,95,95
719,"Diancie","Rock,Fairy",50,100,150,100,150,50
720,"Hoopa","Psychic,Ghost",80,110,60,150,130,70
721,"Volcanion","Fire,Water",80,110,120,130,90,70
722,"Rowlet","Grass,Flying",68,55,55,50,50,42
723,"Dartrix","Grass,Flying",78,75,75,70,70,52
724,"Decidueye","Grass,Ghost",78,107,75,100,100,70
725,"Litten","Fire",45,65,40,60,40,70
726,"Torracat","Fire",65,85,50,80,50,90
727,"Incineroar","Fire,Dark",95,115,90,80,90,60
728,"Popplio","Water",50,54,54,66,56,40
729,"Brionne","Water",60,69,69,91,81,50
730,"Primarina","Water,Fairy",80,74,74,126,116,60
731,"Pikipek","Normal,Flying",35,75,30,30,30,65
732,"Trumbeak","Normal,Flying",55,85,50,40,50,75
733,"Toucannon","Normal,Flying",80,120,75,75,75,60
734,"Yungoos","Normal",48,70,30,30,30,45
735,"Gumshoos","Normal",88,110,60,55,60,45
736,"Grubbin","Bug",47,62,45,55,45,46
737,"Charjabug","Bug,Electric",57,82,95,55,75,36
738,"Vikavolt","Bug,Electric",77,70,90,145,75,43
739,"Crabrawler","Fighting",47,82,57,42,47,63
740,"Crabominable","Fighting,Ice",97,132,77,62,67,43
741,"Oricorio","Fire,Flying",75,70,70,98,70,93
742,"Cutiefly","Bug,Fairy",40,45,40,55,40,84
743,"Ribombee","Bug,Fairy",60,55,60,95,70,124
744,"Rockruff","Rock",45,65,40,30,40,60
745,"Lycanroc","Rock",75,115,65,55,65,112
746,"Wishiwashi","Water",45,20,20,25,25,40
747,"Mareanie","Poison,Water",50,53,62,43,52,45
748,"Toxapex","Poison,Water",50,63,152,53,142,35
749,"Mudbray","Ground",70,100,70,45,55,45
750,"Mudsdale","Ground",100,125,100,55,85,35
751,"Dewpider","Water,Bug",38,40,52,40,72,27
752,"Araquanid","Water,Bug",68,70,92,50,132,42
753,"Fomantis","Grass",40,55,35,50,35,35
754,"Lurantis","Grass",70,105,90,80,90,45
755,"Morelull","Grass,Fairy",40,35,55,65,75,15
756,"Shiinotic","Grass,Fairy",60,45,80,90,100,30
757,"Salandit","Poison,Fire",48,44,40,71,40,77
758,"Salazzle","Poison,Fire",68,64,60,111,60,117
759,"Stufful","Normal,Fighting",70,75,50,45,50,50
760,"Bewear","Normal,Fighting",120,125,80,55,60,60
761,"Bounsweet","Grass",42,30,38,30,38,32
762,"Steenee","Grass",52,40,48,40,48,62
763,"Tsareena","Grass",72,120,98,50,98,72
764,"Comfey","Fairy",51,52,90,82,110,100
765,"Oranguru","Normal,Psychic",90,60,80,90,110,60
766,"Passimian","Fighting",100,120,90,40,60,80
767,"Wimpod","Bug,Water",25,35,40,20,30,80
768,"Golisopod","Bug,Water",75,125,140,60,90,40
769,"Sandygast","Ghost,Ground",55,55,80,70,45,15
770,"Palossand","Ghost,Ground",85,75,110,100,75,35
771,"Pyukumuku","Water",55,60,130,30,130,5
772,"Type: Null","Normal",95,95,95,95,95,59
773,"Silvally","Normal",95,95,95,95,95,95
774,"Minior","Rock,Flying",60,60,100,60,100,60
775,"Komala","Normal",65,115,65,75,95,65
776,"Turtonator","Fire,Dragon",60,78,135,91,85,36
777,"Togedemaru","Electric,Steel",65,98,63,40,73,96
778,"Mimikyu","Ghost,Fairy",55,90,80,50,105,96
779,"Bruxish","Water,Psychic",68,105,70,70,70,92
780,"Drampa","Normal,Dragon",78,60,85,135,91,36
781,"Dhelmise","Ghost,Grass",70,131,100,86,90,40
782,"Jangmo-o","Dragon",45,55,65,45,45,45
783,"Hakamo-o","Dragon,Fighting",55,75,90,65,70,65
784,"Kommo-o","Dragon,Fighting",75,110,125,100,105,85
785,"Tapu Koko","Electric,Fairy",70,115,85,95,75,130
786,"Tapu Lele","Psychic,Fairy",70,85,75,130,115,95
787,"Tapu Bulu","Grass,Fairy",70,130,115,85,95,75
788,"Tapu Fini","Water,Fairy",70,75,115,95,130,85
789,"Cosmog","Psychic",43,29,31,29,31,37
790,"Cosmoem","Psychic",43,29,131,29,131,37
791,"Solgaleo","Psychic,Steel",137,137,107,113,89,97
792,"Lunala","Psychic,Ghost",137,113,89,137,107,97
793,"Nihilego","Rock,Poison",109,53,47,127,131,103
794,"Buzzwole","Bug,Fighting",107,139,139,53,53,79
795,"Pheromosa","Bug,Fighting",71,137,37,137,37,151
796,"Xurkitree","Electric",83,89,71,173,71,83
797,"Celesteela","Steel,Flying",97,101,103,107,101,61
798,"Kartana","Grass,Steel",59,181,131,59,31,109
799,"Guzzlord","Dark,Dragon",223,101,53,97,53,43
800,"Necrozma","Psychic",97,107,101,127,89,79
801,"Magearna","Steel,Fairy",80,95,115,130,115,65
802,"Marshadow","Fighting,Ghost",90,125,80,90,90,125
803,"Poipole","Poison",67,73,67,73,67,73
804,"Naganadel","Poison,Dragon",73,73,73,127,73,121
805,"Stakataka","Rock,Steel",61,131,211,53,101,13
806,"Blacephalon","Fire,Ghost",53,127,53,151,79,107
807,"Zeraora","Electric",88,112,75,102,80,143
808,"Meltan","Steel",46,65,65,55,35,34
809,"Melmetal","Steel",135,143,143,80,65,34